,Title,Released,Released - Year,Rated,Rated - Rating,Festival Premiere,Festival Premiere - Name,Star,Star - Wiki,Trailer,Interviews,Soundtrack,Message,Message - Quote,Era,Era - Resistance,Continent,Continent - Name,Codewords,Policy
25,Nina,1,2016,,,,,,,,,,,,,,,,,
51,Hidden Numbers,1,2016,,,,,,,,,,,,,,,,,
66,Almost Christmas,1,2016,,,,,,,,,,,,,,,,,
67,The Perfect Match,1,2016,,,,,,,,,,,,,,,,,
90,Mississippi Masala,,,,,,,,,,,,,,,,,,,
91,He Got Game,,,,,,,,,,,,,,,,,,,
92,The Preacher's Wife,,,,,,,,,,,,,,,,,,,
93,Waiting to Exhale,,,,,,,,,,,,,,,,,,,
94,Mo Betta Blues,,,,,,,,,,,,,,,,,,,
95,Antwone Fisher,,,,,,,,,,,,,,,,,,,
97,The Great Debaters,10,2007,,,,,,,,,,,,,,,,,
98,Deja Vu,,,,,,,,,,,,,,,,,,,
99,Fences,1,2016,,,,,,,,,,,,,,,,,
100,The Butler,3,2014,,,,,,,,,,,,,,,,,
104,The Fighting Temptations,14,2003,,,,,,,,,,,,,,,,,
105,Hidden Figures,1,2016,,,,,,,,,,,,,,,,,
106,The Five Heartbeats,25,1992,,,,,,,,,,,,,,,,,
108,Almost Christmas,1,2016,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,
28,The Princess and the Frog,8,2009,4,G,,,,,,,,,,,,,,,
102,Chicago 10,10,2007,4,G,1,Sundance Film,,,,,,,,,,,,,
27,Roots,1,2016,6,NR,,,,,,,,,,,,,,,
29,Thirteenth(13th),1,2016,6,NR,,,,,,,,,,,,,,,
37,Forgiveness,2,2015,6,NR,,,,,,,,,,,,,,,
68,Think Like a Man,4,2013,6,NR,,,,,,,,,,,,,,,
74,I'm Bout It,21,1996,6,NR,,,119,https://en.m.wikipedia.org/wiki/Master_P,,,,,,,,,,,
103,Blackout,10,2007,6,NR,,,,,,,,,,,,,,,
107,The Black Panthers: Vanguard of the Revolution,2,2015,6,NR,1,Sundance Film,,,,,,,,,,,,,
13,Akeelah and the Bee,11,2006,3,PG,,,,,,,,,,,,,,,
30,Are We There Yet?,12,2005,3,PG,,,,,,,,,,,,,,,
36,Let it Shine,4,2013,3,PG,,,,,,,,,,,,,,,
55,Pride,10,2007,3,PG,,,14,https://en.m.wikipedia.org/wiki/Terrence_Howard,,,,,,,,,,,
86,Bebe's Kids,22,1995,3,PG,,,,,,,,,,,,,,,
110,Michael Jackson's Moonwalker,23,1994,3,PG,,,,,,,,,,,,,,,
1,Kingdom Come,16,2001,2,PG-13,,,2,https://en.wikipedia.org/wiki/Jada_Pinkett_Smith,,,,,,,,,,,
10,Beyond the Lights,3,2014,2,PG-13,3,Toronto. International Film,89,https://en.m.wikipedia.org/wiki/Gugu_Mbatha_Raw,,,,,,,,,,,
11,Dreamgirls,11,2006,2,PG-13,,,,,,,,,,,,,,,
21,42: The Jackie Robinson Story,4,2013,2,PG-13,,,39,https://en.m.wikipedia.org/wiki/Chadwick_Boseman,,,,,,,,,,,
22,Malcolm X,25,1992,2,PG-13,,,,,,,,,,,,,,,
33,Get on Up,3,2014,2,PG-13,,,,,,,,,,,,,,,
34,No Good Deed,3,2014,2,PG-13,,,,,,,,,,,,,,,
53,Red Tails,5,2012,2,PG-13,,,,,,,,,,,,,,,
54,Blood Done Sign My Name,7,2010,2,PG-13,,,,,,,,,,,,,,,
57,Good Hair,8,2009,2,PG-13,,,94,https://en.m.wikipedia.org/wiki/Chris_Rock,,,,,,,,,,,
59,The Honeymooners,12,2005,2,PG-13,,,,,,,,,,,,,,,
61,Dance Fu,6,2011,2,PG-13,,,,,,,,,,,,,,,
96,"Selma, Lord Selma",15,2002,2,PG-13,,,,,,,,,,,,,,,
